Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts
2021/10/26 12:30:00 PM,2021/10/26,12:30,2021,Tuesday,2021/10/26 12:30:00 PM,108858072000,1088580,216149929,,IS,Initial Supplement,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2021/01/10 02:24:00 AM,2021/01/10,02:24,2021,Sunday,2021/01/14 09:52:00 AM,100227171000,1002271,216012398,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2021/03/10 09:06:00 PM,2021/03/10,21:06,2021,Wednesday,2021/03/10 09:06:00 PM,101208571012,1012085,200356530,,VS,Vehicle Supplement,,71012,Other Offenses,Other Offenses,"License Plate, Recovered",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/01/13 06:00:00 PM,2018/01/13,18:00,2018,Saturday,2018/01/18 03:32:00 PM,62623106244,626231,186016096,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2022/05/15 10:45:00 PM,2022/05/15,22:45,2022,Sunday,2022/05/16 07:04:00 AM,115257506244,1152575,226083367,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2021/08/22 09:40:00 AM,2021/08/22,09:40,2021,Sunday,2021/08/22 09:40:00 AM,106267662071,1062676,210537297,212340900,II,Initial,,62071,Warrant,Other,Probation Search,Open or Active,LAGUNA ST \ PACIFIC AVE,26569000,Northern,Pacific Heights,2,2,37.79397724418211,-122.42980398313114,POINT (-122.42980398313114 37.79397724418211),102,,,,,,6,4
2018/05/01 07:00:00 PM,2018/05/01,19:00,2018,Tuesday,2018/07/11 02:31:00 PM,68998871000,689988,186155547,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Southern,,,,,,,,,,,,,,
2020/01/11 11:00:00 AM,2020/01/11,11:00,2020,Saturday,2020/01/11 05:35:00 PM,89100806244,891008,206006919,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2018/09/06 11:01:00 AM,2018/09/06,11:01,2018,Thursday,2018/10/01 07:58:00 PM,73552771000,735527,186258301,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2021/04/17 01:15:00 AM,2021/04/17,01:15,2021,Saturday,2021/04/17 02:25:00 PM,102315806244,1023158,216042919,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2022/11/26 08:00:00 AM,2022/11/26,08:00,2022,Saturday,2022/11/26 07:11:00 PM,121912771000,1219127,226227189,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Richmond,,,,,,,,,,,,,,
